,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
417,Eclipse Aerospace Inc,1,0,1,1.0
418,Artic Aircraft Corp.,1,0,1,1.0
419,Quartz Mountain Aerospace,1,0,1,1.0
420,Rainbow Sky Reach,1,0,1,1.0
421,Martin,1,0,1,1.0
422,Kevin D. Yarnevich,1,0,1,1.0
423,Kolb Company,1,0,1,1.0
424,Ac Mfg & Dev'T Co,1,0,1,1.0
425,Stol Aircraft Corp,1,0,1,1.0
426,Glenn H Curtiss Museum,1,0,1,1.0
427,Cavalier,1,0,1,1.0
428,Dickson,1,0,1,1.0
429,Embraer Executive Aircraft Inc,1,0,1,1.0
430,Indy Aircraft Ltd,1,0,1,1.0
431,Tyler Ives,1,0,1,1.0
432,Brumbaugh David R,1,0,1,1.0
433,Brinker / Garner,1,0,1,1.0
434,Christen Industries,1,0,1,1.0
435,Raf,1,0,1,1.0
436,Gippsaero Pty Ltd,1,0,1,1.0
437,Amstutz Curtis J,1,0,1,1.0
438,Sadler,1,0,1,1.0
439,Lockwood,1,0,1,1.0
440,Aviocar Casa,1,0,1,1.0
441,Texas Air Ventures Inc,1,0,1,1.0
442,Wag Aero,1,0,1,1.0
443,Fisher Flying Products,1,0,1,1.0
444,Underland/Grothe/Finstrom,1,0,1,1.0
445,Meriwether Jon,1,0,1,1.0
446,Lawwill Ted,1,0,1,1.0
447,M7Aero,1,0,1,1.0
448,Scheineman-Van Buren,1,0,1,1.0
449,Seguin,1,0,1,1.0
450,Vickers,1,0,1,1.0
451,Aero-Ace,1,0,1,1.0
452,Farace Thomas Scott,1,0,1,1.0
453,Paradise Aircraft Usa Llc,1,0,1,1.0
454,Fairchild Swearingen,1,0,1,1.0
455,Merritt Leslie R,1,0,1,1.0
456,Pzl-Mielec,1,0,1,1.0
457,Angel Aircraft Corporation,1,0,1,1.0
458,Fairchild Heli-Porter,1,0,1,1.0
459,Hermann Bjorn,1,0,1,1.0
460,Paulistinha  56-C1,1,0,1,1.0
461,Ferguson Aircraft,1,0,1,1.0
462,Roberts,1,0,1,1.0
463,Hitchcock,1,0,1,1.0
464,Cassult Racer,1,0,1,1.0
465,Fantasy Air Sro,1,0,1,1.0
466,Tifft,1,0,1,1.0
